id,date,map,mode,score,time,r1,r2,r3,r4,r5,nb5k,context_1,context_2
0,2024-06-16 21:07:53,World,Move,20486,881,1119.0,4999.0,4380.0,5000.0,4988.0,1,Daily,Officiel
1,2024-06-16 21:09:12,World,Move,24600,900,4947.0,4741.0,4969.0,4984.0,4959.0,0,Daily,Officiel
2,2024-06-16 21:10:57,World,Move,22590,762,3046.0,4926.0,4836.0,4999.0,4783.0,0,Daily,Officiel
3,2024-06-16 21:12:45,World,Move,24861,825,5000.0,5000.0,4864.0,4997.0,5000.0,3,Daily,Officiel
4,2024-06-16 21:14:52,World,Move,18258,818,1026.0,5000.0,4150.0,4256.0,3826.0,1,Daily,Officiel
5,2024-06-16 21:21:36,Luxembourg,Move,24838,607,5000.0,5000.0,4964.0,4874.0,5000.0,3,Training,t1 lb cdl 2024
6,2024-06-16 21:22:36,Luxembourg,Move,24953,534,5000.0,4953.0,5000.0,5000.0,5000.0,4,Training,t1 lb cdl 2024
7,2024-06-16 21:25:03,Luxembourg,Move,21868,545,5000.0,5000.0,4965.0,5000.0,1903.0,3,Training,t1 lb cdl 2024
8,2024-06-16 21:26:08,Luxembourg,Move,24984,545,5000.0,4984.0,5000.0,5000.0,5000.0,4,Training,t1 lb cdl 2024
9,2024-06-16 21:36:09,Luxembourg,Move,23838,577,5000.0,5000.0,3838.0,5000.0,5000.0,4,Training,t1 lb cdl 2024
10,2024-06-16 21:40:32,Luxembourg,Move,25000,387,5000.0,5000.0,5000.0,5000.0,5000.0,5,Training,t1 lb cdl 2024
11,2024-06-16 21:40:52,Luxembourg,Move,25000,304,5000.0,5000.0,5000.0,5000.0,5000.0,5,Training,t1 lb cdl 2024
12,2024-06-16 21:42:26,Saint Empire Romain,Move,21922,730,5000.0,4211.0,5000.0,2711.0,5000.0,3,Training,t1 lb cdl 2024
13,2024-06-16 21:43:45,Saint Empire Romain,Move,24974,719,5000.0,5000.0,5000.0,4974.0,5000.0,4,Training,t1 lb cdl 2024
14,2024-06-16 21:44:32,Saint Empire Romain,Move,24785,824,5000.0,4969.0,4879.0,4937.0,5000.0,2,Training,t1 lb cdl 2024
15,2024-06-16 21:45:07,Luxembourg,Move,25000,435,5000.0,5000.0,5000.0,5000.0,5000.0,5,Training,t1 lb cdl 2024
16,2024-06-16 21:46:27,Saint Empire Romain,Move,20819,851,1005.0,4877.0,5000.0,5000.0,4937.0,2,Training,t1 lb cdl 2024
17,2024-06-16 22:22:51,Saint Empire Romain,Move,23108,788,5000.0,5000.0,3169.0,5000.0,4939.0,3,Training,t1 lb cdl 2024
18,2024-06-16 22:36:27,Luxembourg,Move,24953,517,5000.0,4953.0,5000.0,5000.0,5000.0,4,Training,t1 lb cdl 2024
